date,interest_over_time
2004-01,27
2004-02,22
2004-03,13
2004-04,29
2004-05,17
2004-06,21
2004-07,23
2004-08,28
2004-09,24
2004-10,27
2004-11,24
2004-12,20
2005-01,24
2005-02,26
2005-03,26
2005-04,24
2005-05,21
2005-06,21
2005-07,24
2005-08,25
2005-09,25
2005-10,36
2005-11,35
2005-12,30
2006-01,33
2006-02,32
2006-03,32
2006-04,32
2006-05,30
2006-06,29
2006-07,28
2006-08,32
2006-09,30
2006-10,30
2006-11,29
2006-12,30
2007-01,34
2007-02,34
2007-03,33
2007-04,40
2007-05,45
2007-06,34
2007-07,34
2007-08,39
2007-09,35
2007-10,41
2007-11,44
2007-12,39
2008-01,40
2008-02,35
2008-03,36
2008-04,37
2008-05,34
2008-06,34
2008-07,35
2008-08,30
2008-09,35
2008-10,46
2008-11,36
2008-12,35
2009-01,39
2009-02,35
2009-03,38
2009-04,40
2009-05,36
2009-06,35
2009-07,35
2009-08,36
2009-09,37
2009-10,35
2009-11,33
2009-12,35
2010-01,33
2010-02,32
2010-03,36
2010-04,38
2010-05,36
2010-06,36
2010-07,28
2010-08,34
2010-09,33
2010-10,37
2010-11,39
2010-12,37
2011-01,38
2011-02,39
2011-03,41
2011-04,38
2011-05,32
2011-06,34
2011-07,36
2011-08,40
2011-09,36
2011-10,38
2011-11,37
2011-12,32
2012-01,32
2012-02,37
2012-03,35
2012-04,30
2012-05,30
2012-06,30
2012-07,30
2012-08,29
2012-09,29
2012-10,32
2012-11,27
2012-12,27
2013-01,32
2013-02,32
2013-03,32
2013-04,31
2013-05,29
2013-06,27
2013-07,27
2013-08,29
2013-09,29
2013-10,30
2013-11,31
2013-12,30
2014-01,35
2014-02,32
2014-03,35
2014-04,33
2014-05,32
2014-06,29
2014-07,30
2014-08,29
2014-09,32
2014-10,31
2014-11,28
2014-12,30
2015-01,37
2015-02,34
2015-03,34
2015-04,35
2015-05,32
2015-06,31
2015-07,34
2015-08,34
2015-09,31
2015-10,30
2015-11,28
2015-12,27
2016-01,27
2016-02,29
2016-03,28
2016-04,29
2016-05,25
2016-06,26
2016-07,26
2016-08,25
2016-09,25
2016-10,24
2016-11,26
2016-12,29
2017-01,33
2017-02,37
2017-03,36
2017-04,34
2017-05,32
2017-06,31
2017-07,33
2017-08,33
2017-09,32
2017-10,33
2017-11,36
2017-12,37
2018-01,45
2018-02,39
2018-03,36
2018-04,36
2018-05,34
2018-06,36
2018-07,35
2018-08,36
2018-09,36
2018-10,36
2018-11,34
2018-12,30
2019-01,35
2019-02,32
2019-03,31
2019-04,36
2019-05,35
2019-06,35
2019-07,37
2019-08,37
2019-09,40
2019-10,44
2019-11,39
2019-12,33
2020-01,43
2020-02,47
2020-03,83
2020-04,76
2020-05,64
2020-06,71
2020-07,63
2020-08,67
2020-09,61
2020-10,48
2020-11,49
2020-12,65
2021-01,99
2021-02,100
2021-03,70
2021-04,58
2021-05,52
2021-06,52
2021-07,52
2021-08,54
2021-09,55
2021-10,52
2021-11,57
2021-12,53
2022-01,76
2022-02,75
2022-03,77
2022-04,72
2022-05,62
2022-06,59
2022-07,52
2022-08,58
2022-09,57
