date,interest_over_time
2004-01,2
2004-02,1
2004-03,2
2004-04,2
2004-05,2
2004-06,1
2004-07,2
2004-08,1
2004-09,2
2004-10,1
2004-11,1
2004-12,1
2005-01,2
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,2
2005-07,2
2005-08,1
2005-09,2
2005-10,1
2005-11,1
2005-12,1
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,2
2006-07,2
2006-08,1
2006-09,2
2006-10,2
2006-11,2
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,2
2007-07,1
2007-08,1
2007-09,1
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,4
2010-06,2
2010-07,2
2010-08,2
2010-09,2
2010-10,2
2010-11,2
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,2
2015-01,2
2015-02,2
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,2
2015-08,2
2015-09,2
2015-10,2
2015-11,2
2015-12,2
2016-01,2
2016-02,2
2016-03,2
2016-04,2
2016-05,2
2016-06,3
2016-07,2
2016-08,2
2016-09,2
2016-10,2
2016-11,2
2016-12,2
2017-01,3
2017-02,3
2017-03,4
2017-04,4
2017-05,4
2017-06,4
2017-07,4
2017-08,4
2017-09,4
2017-10,4
2017-11,5
2017-12,5
2018-01,11
2018-02,9
2018-03,6
2018-04,5
2018-05,5
2018-06,5
2018-07,6
2018-08,8
2018-09,9
2018-10,8
2018-11,7
2018-12,10
2019-01,9
2019-02,9
2019-03,7
2019-04,8
2019-05,8
2019-06,8
2019-07,8
2019-08,7
2019-09,7
2019-10,7
2019-11,8
2019-12,7
2020-01,11
2020-02,15
2020-03,33
2020-04,24
2020-05,22
2020-06,31
2020-07,23
2020-08,25
2020-09,19
2020-10,13
2020-11,15
2020-12,23
2021-01,100
2021-02,78
2021-03,27
2021-04,42
2021-05,48
2021-06,26
2021-07,24
2021-08,24
2021-09,16
2021-10,31
2021-11,26
2021-12,16
2022-01,19
2022-02,21
2022-03,15
2022-04,18
2022-05,12
2022-06,11
2022-07,9
2022-08,11
2022-09,8
