date,interest_over_time
2004-01,45
2004-02,43
2004-03,38
2004-04,38
2004-05,33
2004-06,32
2004-07,35
2004-08,30
2004-09,32
2004-10,34
2004-11,36
2004-12,43
2005-01,42
2005-02,37
2005-03,37
2005-04,31
2005-05,33
2005-06,37
2005-07,38
2005-08,37
2005-09,34
2005-10,32
2005-11,34
2005-12,36
2006-01,43
2006-02,37
2006-03,40
2006-04,46
2006-05,46
2006-06,43
2006-07,44
2006-08,44
2006-09,42
2006-10,47
2006-11,44
2006-12,44
2007-01,53
2007-02,54
2007-03,50
2007-04,48
2007-05,49
2007-06,49
2007-07,50
2007-08,54
2007-09,47
2007-10,50
2007-11,49
2007-12,46
2008-01,50
2008-02,45
2008-03,46
2008-04,48
2008-05,43
2008-06,41
2008-07,43
2008-08,37
2008-09,53
2008-10,67
2008-11,42
2008-12,41
2009-01,41
2009-02,37
2009-03,56
2009-04,60
2009-05,56
2009-06,49
2009-07,45
2009-08,52
2009-09,50
2009-10,49
2009-11,37
2009-12,39
2010-01,45
2010-02,41
2010-03,47
2010-04,50
2010-05,40
2010-06,31
2010-07,30
2010-08,31
2010-09,33
2010-10,36
2010-11,37
2010-12,39
2011-01,43
2011-02,42
2011-03,39
2011-04,38
2011-05,33
2011-06,31
2011-07,32
2011-08,42
2011-09,29
2011-10,32
2011-11,29
2011-12,31
2012-01,33
2012-02,39
2012-03,36
2012-04,32
2012-05,31
2012-06,27
2012-07,27
2012-08,31
2012-09,29
2012-10,27
2012-11,27
2012-12,29
2013-01,37
2013-02,34
2013-03,33
2013-04,32
2013-05,32
2013-06,28
2013-07,31
2013-08,31
2013-09,29
2013-10,34
2013-11,30
2013-12,31
2014-01,36
2014-02,37
2014-03,34
2014-04,31
2014-05,26
2014-06,28
2014-07,29
2014-08,26
2014-09,27
2014-10,26
2014-11,24
2014-12,26
2015-01,27
2015-02,31
2015-03,28
2015-04,28
2015-05,22
2015-06,22
2015-07,25
2015-08,27
2015-09,21
2015-10,22
2015-11,20
2015-12,21
2016-01,21
2016-02,22
2016-03,22
2016-04,22
2016-05,17
2016-06,20
2016-07,21
2016-08,20
2016-09,19
2016-10,19
2016-11,21
2016-12,22
2017-01,24
2017-02,26
2017-03,26
2017-04,23
2017-05,22
2017-06,23
2017-07,21
2017-08,23
2017-09,23
2017-10,25
2017-11,25
2017-12,28
2018-01,36
2018-02,38
2018-03,42
2018-04,37
2018-05,34
2018-06,37
2018-07,34
2018-08,38
2018-09,36
2018-10,36
2018-11,31
2018-12,30
2019-01,36
2019-02,38
2019-03,35
2019-04,35
2019-05,30
2019-06,32
2019-07,33
2019-08,33
2019-09,28
2019-10,34
2019-11,37
2019-12,35
2020-01,44
2020-02,46
2020-03,80
2020-04,75
2020-05,62
2020-06,71
2020-07,62
2020-08,61
2020-09,55
2020-10,44
2020-11,51
2020-12,60
2021-01,90
2021-02,100
2021-03,73
2021-04,61
2021-05,53
2021-06,59
2021-07,47
2021-08,45
2021-09,43
2021-10,45
2021-11,49
2021-12,46
2022-01,46
2022-02,45
2022-03,43
2022-04,36
2022-05,31
2022-06,33
2022-07,29
2022-08,36
2022-09,27
